channel_name,direction,payload_keys,file,line_start,line_end
adbbp:cs,content->background,,h0.js,78001,80000
acorns:action,other,storeId|type|action,h0.js,78001,80000
adbBp:action,other,action,h0.js,78001,80000
affManager:tag,background->content,storeId|url|data,h0.js,80001,82000
page:load,content->background,hasServiceWorkers|url|tabId,h0.js,80001,82000
utils:action,background->content,action|data,h0.js,80001,82000
cookies:cs,content->background,,h0.js,84001,86000
device:heart,content->background,,h0.js,84001,86000
device:action,content->background,,h0.js,84001,86000
user:session:started,content->background,,h0.js,86001,88000
droplist:product:v3,content->background,,h0.js,92001,94000
experiments:action,content->background,action|data|name,h0.js,96001,98000
features:action,content->background,action|feature,h0.js,96001,98000
gxp:actions,content->background,action|data,h0.js,96001,98000
user:current:update,background->content,user,h0.js,96001,98000
circuitBreaker:event,content->background,event|data,h0.js,96001,98000
honey-pay-now:action:eligibility,content->background,cartPrice|storeId|action,h0.js,98001,100000
honey-pay-now:action:gql-query,content->background,operationName|variables|options|action,h0.js,98001,100000
honey-pay-now:action:local-storage,content->background,action|key|value|data,h0.js,100001,102000
honey-pay-now:action:ui,content->background,action|data|term,h0.js,100001,102000
honey-tip:badge-experiments,content->background,action|productId|storeId,h0.js,100001,102000
background:started,background->content,,h0.js,110001,112000
debug:change,content->background,level|enabled,h0.js,110001,112000
lru:access,content->background,key|value,h0.js,110001,112000
mseupsell:action,content->background,action|data,h0.js,112001,114000
mseupsell:bg:action,background->content,action|data,h0.js,112001,114000
offers:action,content->background,action|data,h0.js,112001,114000
optimuslru:access,content->background,key|value,h0.js,112001,114000
optimus:fetch:product,background->content,productId|storeId,h0.js,112001,114000
paypal:action,content->background,action|data,h0.js,114001,116000
bg:permissions,background->content,permissions,h0.js,114001,116000
popover:bg,background->content,action|data,h0.js,114001,116000
product:coupons,content->background,productId|coupons,h0.js,114001,116000
product_fetcher:action,content->background,action|productData,h0.js,114001,116000
tabs:activated,content->background,tabId,h0.js,114001,116000
tabs:updated,content->background,tabId|status|url,h0.js,114001,116000
rokt-offers:action,content->background,action|data,h0.js,116001,118000
site_support:startWatching,content->background,,h0.js,118001,120000
site_support:stopWatching,content->background,,h0.js,118001,120000
site_support:watchUGCRequest,content->background,request|data,h0.js,118001,120000
site_support:checkUGCCoupon,content->background,coupon|store,h0.js,118001,120000
fs-cache:access,content->background,key|value,h0.js,118001,120000
stats:action,content->background,action|data,h0.js,118001,120000
sdata:testSuiteInit,content->background,suite|data,h0.js,118001,120000
sdata:event,content->background,event|data,h0.js,118001,120000
ui:interaction,content->background,element|action|data,h0.js,120001,122000
stores:affiliate:tagged,content->background,storeId|url|affUrl,h0.js,120001,122000
stores:action,content->background,action|storeData,h0.js,120001,122000
stores:session:started,content->background,storeId|sessionData,h0.js,120001,122000
stores:session:activated,content->background,storeId|sessionData,h0.js,120001,122000
rewardsManager:action,content->background,action|data,h0.js,120001,122000
standDown:store:status,content->background,status|store|tabId|rule|url|provider|originalRedirect|initiator|isTransferringStandDownStatus,h0.js,122001,124000
standDown:store:ssd,background->analytics,state|store,h0.js,122001,124000
car_rental:action,background->content,action|coupon|percentTestingDone,h0.js,124001,126000
findsavings:apply_code_top_funnel,background->content,,h0.js,124001,126000
tabs:action,content->background,action|data,h0.js,124001,126000
tabs:ready,content->background,tabId,h0.js,124001,126000
user:action,content->background,action|data|mode|src|showSocialBtns|isOptOut|email|password|userId|storeId|experiment|image|key|value|options|currencyCode|duration,h0.js,126001,128000
vims:action,content->background,data|action|options|storeId|type|currentPageUrl|frameworkId|runId|payload,h0.js,128001,130000
page:detect_store,content->background,store|url|tabId,h0.js,124001,126000
page:detect_google,content->background,query|tabId,h0.js,124001,126000
current:product,background->content,data|variantId|variations|partialObservation|productId|parentId|storeId|newProduct,h0.js,130001,132000
honeyTips:pdpCoupons:honeyProductCoupons:init,background->content,,h0.js,130001,132000
vims:reportPageTypes,background->content,types|frameworks|shouldUseFramework|ignoreForFeatures|storeId,h0.js,130001,132000
vims:reportWhereAmI,background->content,data|storeId|tabId,h0.js,130001,132000
reportOrderId,background->content,,h0.js,130001,132000
vims:waitForPageUpdate,content->background,payload|runId,h0.js,130001,132000
vim_event:*,background->content,data,h0.js,130001,132000
tabs:created,background->content,tabId,h0.js,132001,134000
tabs:updated,background->content,tabId|status|url,h0.js,132001,134000
tabs:activated,background->content,tabId,h0.js,132001,134000
tabs:removed,background->content,tabId,h0.js,132001,134000
button:bg:clicked,background->content,,h0.js,132001,134000
button:cs,content->background,type|params|tabId|info,h0.js,132001,134000
tabs:cs,content->background,type|params|tabId,h0.js,132001,134000
offscreen:tag,background->offscreen,affUrl|storeId,h0.js,132001,134000
postMessage,window->frame,data,h0.js,40001,42000
pageChange,background->content,result|runId,h1-check.js,128001,130000
productVariantClicked,content->background,event|runId,h1-check.js,128001,130000
