channel_name,direction,payload_keys,file,line_start,line_end
acorns:action,unknown,"storeId,type",h0.js,78001,80000
adbbp:cs,content->background,"",h0.js,78001,80000
adbBp:action,unknown,action,h0.js,78001,80000
utils:action,unknown,"action,data",h0.js,80001,82000
affManager:tag,unknown,"storeId,tabId,type,targetUrl,options",h0.js,80001,82000
honey-checkout,iframe->background,"action,data",h0.js,82001,84000
cookies:cs,content->background,"type,url,name,value,domain,path,secure,httpOnly,expirationDate,storeId",h0.js,84001,86000
device:heart,other,"action,data",h0.js,84001,86000
device:action,other,"action,data,key,value,options",h0.js,84001,86000
user:session:started,background->all,sessionId,h0.js,86001,88000
droplist:product:v3,message,"",h0.js,92001,94000
circuitBreaker:event,background->background,"alert_type,event_name,operation",h0.js,96001,98000
gxp:ui:actions,background->ui,"",h0.js,96001,98000
honey-pay-now:action:local-storage,content->background,"action,data",h0.js,100001,102000
honey-pay-now:action:ui,content->background,"action,data,term",h0.js,100001,102000
honey-tip:badge-experiments,content->background,"action,data",h0.js,100001,102000
honeyTips:tips,content->background,"action,storeId,isTipsEligibleOnly,productIds,clusterId,parentId,priceInCents",h0.js,104001,106000
background:started,background->content,"",h0.js,110001,112000
debug:change,background->content,active,h0.js,110001,112000
offers:action,background<->background,"action,data,tabId",h0.js,112001,114000
mseupsell:action,background<->background,"action,flow,tabId",h0.js,112001,114000
mseupsell:bg:action,background<->background,"action,userId",h0.js,112001,114000
optimuslru:access,background<->background,"action,data",h0.js,112001,114000
optimus:fetch:product,background<->background,"productId,variantId",h0.js,112001,114000
paypal:action,background<->background,"action,data",h0.js,114001,116000
bg:permissions,background<->background,action,h0.js,114001,116000
popover:bg,background<->background,"action,data,tabId",h0.js,114001,116000
popover:cs,background->content,"action,data,tabId",h0.js,114001,116000
product:coupons,background<->background,"action,data",h0.js,114001,116000
product_fetcher:action,background<->background,"action,data",h0.js,114001,116000
rokt-offers:action,background<->background,"action,data",h0.js,116001,118000
stats:action,unknown,"",h0.js,118001,120000
sdata:event,unknown,"",h0.js,118001,120000
site_support:sawStoreRequestStarted,unknown,"",h0.js,118001,120000
site_support:sawStoreRequestFinished,unknown,"",h0.js,118001,120000
affManager:tag,unknown,"",h0.js,120001,122000
rewardsManager:action,unknown,"",h0.js,120001,122000
stores:action,unknown,"",h0.js,120001,122000
experiments:action,unknown,"",h0.js,122001,124000
ui:action,unknown,"",h0.js,122001,124000
ui:action,unknown,"",h0.js,124001,126000
findsavings:apply_code_top_funnel,unknown,"",h0.js,124001,126000
experiments:action,unknown,"",h0.js,124001,126000
car_rental:action,unknown,"",h0.js,126001,128000
user:current:update,background->content,user,h0.js,128001,130000
vims:action,background->background,"action,data,runId,storeId,type,options,currentPageUrl,frameworkId,result,event",h0.js,128001,130000
pdp:debug,background->background,eventName,h0.js,128001,130000
vims:action,content->background,"action,runId,data,vimPayload",h0.js,130001,132000
button:bg:clicked,background->cs,"",h0.js,132001,134000
button:cs,cs->background,"type,info",h0.js,132001,134000
tabs:cs,cs->background,"type,params,tabId",h0.js,132001,134000
messages:cs,cs->background,"type,content,dest",h0.js,132001,134000
messages:popover,ui->background,"content,dest",h0.js,132001,134000
