url,method,file,line_start,line_end
"/plans",GET,"src/js/Grammarly-bg.js",8001,10000
"/setup-trial",GET,"src/js/Grammarly-bg.js",8001,10000
"/special-offers",GET,"src/js/Grammarly-bg.js",8001,10000
"/subscribe",GET,"src/js/Grammarly-bg.js",8001,10000
"grammarly.com",GET,"src/js/Grammarly-bg.js",48001,50000
"gateway.grammarly.com",GET,"src/js/Grammarly-bg.js",50001,52000
"authorship.grammarly.com",GET,"src/js/Grammarly-bg.js",50001,52000
"goldengate",GET,"src/js/Grammarly-bg.js",50001,52000
"capi",GET,"src/js/Grammarly-bg.js",50001,52000
"f-log-inkwell.grammarly.io",GET,"src/js/Grammarly-bg.js",54001,56000
"auth.grammarly.com",GET,"src/js/Grammarly-bg.js",58001,60000
"tokens.grammarly.com",GET,"src/js/Grammarly-bg.js",58001,60000
"grammarly.io",GET,"src/js/Grammarly-bg.js",58001,60000
"qagr.io",GET,"src/js/Grammarly-bg.js",58001,60000
"ppgr.io",GET,"src/js/Grammarly-bg.js",58001,60000
"coda.io",GET,"src/js/Grammarly-bg.js",62001,64000
"coda.grammarly.com",GET,"src/js/Grammarly-bg.js",62001,64000
"superhuman.com",GET,"src/js/Grammarly-bg.js",60001,62000
"pp-sh.io",GET,"src/js/Grammarly-bg.js",60001,62000
"staging-superhuman.com",GET,"src/js/Grammarly-bg.js",60001,62000
"vmetrics.grammarly.com",GET,"src/js/Grammarly-bg.js",82001,84000
"https://properties.grammarly.com",GET,"src/js/Grammarly-check.js",1,2000
"https://treatment.grammarly.com",GET,"src/js/Grammarly-check.js",1,2000
"https://gates.grammarly.com",GET,"src/js/Grammarly-check.js",1,2000
"https://f-log-extension.grammarly.io",GET,"src/js/Grammarly-check.js",1,2000
"https://extension.femetrics.grammarly.io",GET,"src/js/Grammarly-check.js",1,2000
"https://api.iterable.com",GET,"src/js/Grammarly-check.js",1,2000
"https://assets.extension.grammarly.com",GET,"src/js/Grammarly-check.js",1,2000
"https://capi.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"https://data.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"https://gateway.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"https://config.extension.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"https://subscription.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"chat.openai.com",external,ai_service,"src/js/Grammarly-check.js",8001,10000
"gemini.google.com",external,ai_service,"src/js/Grammarly-check.js",8001,10000
"perplexity.ai",external,ai_service,"src/js/Grammarly-check.js",8001,10000
"chatgpt.com",external,ai_service,"src/js/Grammarly-check.js",8001,10000
"claude.ai",external,ai_service,"src/js/Grammarly-check.js",8001,10000
"wikipedia.org",external,reference,"src/js/Grammarly-check.js",8001,10000
"docs.google.com",external,platform,"src/js/Grammarly-check.js",8001,10000
"auth.grammarly.com",grammarly,authentication,"src/js/Grammarly-check.js",12001,14000
"auth.ppgr.io",grammarly,authentication,"src/js/Grammarly-check.js",12001,14000
"auth.qagr.io",grammarly,authentication,"src/js/Grammarly-check.js",12001,14000
"tokens.grammarly.com",grammarly,authentication,"src/js/Grammarly-check.js",12001,14000
"grammarly.com/extension-success",grammarly,tracking,"src/js/Grammarly-check.js",14001,14264
"superhuman.com",external,platform,"src/js/Grammarly-check.js",14001,14264
"https://properties.grammarly.com",grammarly,configuration,"src/js/Grammarly.js",6001,8000
"https://treatment.grammarly.com",grammarly,experiments,"src/js/Grammarly.js",6001,8000
"https://gates.grammarly.com",grammarly,experiments,"src/js/Grammarly.js",6001,8000
"https://f-log-extension.grammarly.io",grammarly,telemetry,"src/js/Grammarly.js",54001,56000
"https://extension.femetrics.grammarly.io/batch/import",grammarly,analytics,"src/js/Grammarly.js",54001,56000
"https://coda.io",external,platform,"src/js/Grammarly.js",54001,56000
"https://assets.extension.grammarly.com",grammarly,assets,"src/js/Grammarly.js",54001,56000
"https://auth.grammarly.com",grammarly,authentication,"src/js/Grammarly.js",54001,56000
"https://capi.grammarly.com",grammarly,checking,"src/js/Grammarly.js",54001,56000
"https://data.grammarly.com",grammarly,data,"src/js/Grammarly.js",54001,56000
"https://gateway.grammarly.com",grammarly,gateway,"src/js/Grammarly.js",54001,56000
"https://gnar.grammarly.com",grammarly,analytics,"src/js/Grammarly.js",54001,56000
"https://in.grammarly.com/v1/events",grammarly,events,"src/js/Grammarly.js",54001,56000
"https://accounts.google.com",external,authentication,"src/js/Grammarly.js",54001,56000
"https://www.facebook.com/login",external,authentication,"src/js/Grammarly.js",54001,56000
"https://appleid.apple.com/auth",external,authentication,"src/js/Grammarly.js",54001,56000
"translate.google.com",external,translation,"src/js/Grammarly.js",26001,28000
