channel_name,direction,payload_keys,file,line_start,line_end
"gOS-bg-d5ccc5edf7e1",content->background,"","src/js/Grammarly-bg.js",58001,60000
"gOS-fg-d5ccc5edf7e1",background->content,"","src/js/Grammarly-bg.js",58001,60000
"skills-bg-d5ccc5edf7e1",content->background,"","src/js/Grammarly-bg.js",60001,62000
"external:changed-plan",background->content,"","src/js/Grammarly-bg.js",60001,62000
"external:changed-user",background->content,"","src/js/Grammarly-bg.js",60001,62000
"external:cleanup",background->content,"","src/js/Grammarly-bg.js",60001,62000
"external:llama-action",background->content,"","src/js/Grammarly-bg.js",60001,62000
"external:close-current-tab",background->content,"","src/js/Grammarly-bg.js",60001,62000
"external:enable-superhuman-go",background->content,"","src/js/Grammarly-bg.js",60001,62000
"cs-to-bg-rpc-1557421403805",content->background,"","src/js/Grammarly-bg.js",70001,72000
"cs-to-bg-static-capi-rpc-1668544923207",content->background,"","src/js/Grammarly-bg.js",72001,74000
"cs-to-bg-static-capi-observable-rpc-1668544923207",content->background,"","src/js/Grammarly-bg.js",72001,74000
"CODE_SPLITTING_INJECT",ui->background,"","src/js/Grammarly-bg.js",84001,86000
"CODE_SPLITTING_INJECT",background,content_script,"src/js/Grammarly-check.js",14001,14264
"frameId.request",iframe,communication,"src/js/Grammarly.js",50001,52000
"frameId.response",iframe,communication,"src/js/Grammarly.js",50001,52000
"frameId.init",iframe,communication,"src/js/Grammarly.js",50001,52000
"grammarly_message_protocol",iframe,communication,"src/js/Grammarly.js",50001,52000
"contentScript-disconnected",background,service_worker,"src/js/Grammarly.js",56001,58000
"bgSW-shutdown",background,service_worker,"src/js/Grammarly.js",56001,58000
"cs-bg-runtime",background,service_worker,"src/js/Grammarly.js",56001,58000
"bgRpc_api_launchAuthFlow",background,authentication,"src/js/Grammarly.js",58001,60000
"dismissKnowledgeHubEntry",background,knowledge_hub,"src/js/Grammarly.js",58001,60000
"replace",content_script,text_manipulation,"src/js/Grammarly.js",58001,60000
"ignore",content_script,text_manipulation,"src/js/Grammarly.js",58001,60000
"acknowledge",content_script,text_manipulation,"src/js/Grammarly.js",58001,60000
"login",content_script,authentication,"src/js/Grammarly.js",58001,60000
"signIn",content_script,authentication,"src/js/Grammarly.js",58001,60000
"signUp",content_script,authentication,"src/js/Grammarly.js",58001,60000
"add",content_script,ui_control,"src/js/Grammarly.js",58001,60000
"view",content_script,ui_control,"src/js/Grammarly.js",58001,60000
"editor",content_script,ui_control,"src/js/Grammarly.js",58001,60000
"sdui_actions",content_script,ui_control,"src/js/Grammarly.js",58001,60000
"authenticationStarted",background,authentication,"src/js/Grammarly.js",60001,62000
"connection",background,connection,"src/js/Grammarly.js",60001,62000
"environmentState",background,environment,"src/js/Grammarly.js",60001,62000
"extensionSettings",background,settings,"src/js/Grammarly.js",60001,62000
"activeTab",background,tab_control,"src/js/Grammarly.js",60001,62000
"clickToRunEnabledOnce",background,feature_control,"src/js/Grammarly.js",60001,62000
"keyboard_shortcuts",background,ui_control,"src/js/Grammarly.js",60001,62000
"alwaysAvailableAssistant",background,assistant,"src/js/Grammarly.js",60001,62000
"touchTypist",background,accessibility,"src/js/Grammarly.js",60001,62000
"citationBuilder",background,citation,"src/js/Grammarly.js",60001,62000
