key,type,purpose,file,line_start,line_end
"local",local,extension_settings,"src/js/Grammarly-bg.js",48001,50000
"sync",sync,extension_settings,"src/js/Grammarly-bg.js",48001,50000
"cookies",cookies,authentication,"src/js/Grammarly-bg.js",48001,50000
"IndexedDB",indexeddb,user_data,"src/js/Grammarly-bg.js",58001,60000
"managedStorage",managed,enterprise_policy,"src/js/Grammarly-bg.js",60001,62000
"version",local,extension_metadata,"src/js/Grammarly-bg.js",72001,74000
"extensionSettings",local,user_preferences,"src/js/Grammarly-bg.js",72001,74000
"user",local,user_profile,"src/js/Grammarly-bg.js",72001,74000
"activeTab",local,session_state,"src/js/Grammarly-bg.js",72001,74000
"extensionInstallSource",local,analytics,"src/js/Grammarly-bg.js",72001,74000
"extensionInstallDate",local,analytics,"src/js/Grammarly-bg.js",72001,74000
"mise:clientAccessToken",local,authentication,"src/js/Grammarly-bg.js",74001,76000
"inviteEligibilityCache",local,feature_flags,"src/js/Grammarly-bg.js",74001,76000
"experimentationGatesTreatments",local,ab_testing,"src/js/Grammarly-bg.js",76001,78000
"experimentationTreatments",local,ab_testing,"src/js/Grammarly-bg.js",76001,78000
"clientControlsCacheEntry",local,enterprise_policy,"src/js/Grammarly-bg.js",76001,78000
"local",local,general_storage,"src/js/Grammarly-bg.js",82001,84000
"sync",sync,cross_device_sync,"src/js/Grammarly-bg.js",82001,84000
"session",session,temporary_data,"src/js/Grammarly-bg.js",82001,84000
"managed",managed,enterprise_config,"src/js/Grammarly-bg.js",82001,84000
"sessionStorage",session,temporary_data,"src/js/Grammarly-bg.js",82001,84000
"indexedDB",indexeddb,structured_data,"src/js/Grammarly-bg.js",82001,84000
"preferences",local,user_settings,"src/js/Grammarly-bg.js",62001,64000
"experimentTreatments",local,ab_testing,"src/js/Grammarly-gDocs.js",6001,8000
"gateTreatments",local,feature_flags,"src/js/Grammarly-gDocs.js",6001,8000
"treatmentStorage",local,experiments,"src/js/Grammarly-gDocs.js",8001,10000
"propertiesCache",local,configuration,"src/js/Grammarly-gDocs.js",8001,10000
"persistentStorage",local,general_storage,"src/js/Grammarly-gDocs.js",8001,10000
"telemetry_data",local,analytics,"src/js/Grammarly.js",62001,64000
"usage_metrics",local,analytics,"src/js/Grammarly.js",62001,64000
"error_reports",local,diagnostics,"src/js/Grammarly.js",62001,64000
"user_analytics",local,analytics,"src/js/Grammarly.js",62001,64000
"performance_data",local,performance,"src/js/Grammarly.js",62001,64000
"crash_logs",local,diagnostics,"src/js/Grammarly.js",62001,64000
"replacement_analytics",local,text_processing,"src/js/Grammarly.js",64001,66000
"service_availability_metrics",local,monitoring,"src/js/Grammarly.js",64001,66000
"treatment_cache",local,experiments,"src/js/Grammarly.js",64001,66000
"user_behavior_tracking",local,analytics,"src/js/Grammarly.js",64001,66000
"authenticationOptions",local,authentication,"src/js/Grammarly.js",58001,60000
"extensionSettings",local,configuration,"src/js/Grammarly.js",58001,60000
"copiedTextMessage",local,user_data,"src/js/Grammarly.js",24001,26000
"g2OnboardingDismissed",local,onboarding,"src/js/Grammarly.js",24001,26000
"g2OnboardingPulsatingSeen",local,onboarding,"src/js/Grammarly.js",24001,26000
"g2TranslationLanguages",local,translation,"src/js/Grammarly.js",24001,26000
"g2MultilingualOnboardingShowsCount",local,onboarding,"src/js/Grammarly.js",24001,26000
"specialOffer",local,promotion,"src/js/Grammarly.js",24001,26000
"in_product_discount_pro",local,promotion,"src/js/Grammarly.js",24001,26000
"gr-oauth-key",local,authentication,"src/js/Grammarly.js",26001,28000
"experimentClient",local,experiments,"src/js/Grammarly.js",26001,28000
"businessUphookPopupSeenCount",local,business_upsell,"src/js/Grammarly.js",38001,40000
"businessUphookPopupLastShownTimestamp",local,business_upsell,"src/js/Grammarly.js",38001,40000
"dunningMessageLastDismissedTimestamp",local,billing,"src/js/Grammarly.js",38001,40000
"renewalNotificationAppearanceTimestamp",local,billing,"src/js/Grammarly.js",38001,40000
"cachedRichTextOnServiceWorkerShutdown",session,backup,"src/js/Grammarly.js",36001,38000
"sessionUuid",session,session_tracking,"src/js/Grammarly.js",36001,38000
"reconnectInfo",session,connection,"src/js/Grammarly.js",36001,38000
"outgoingMessages",session,messaging,"src/js/Grammarly.js",36001,38000
"dynamicConfig",local,configuration,"src/js/Grammarly.js",32001,34000
