channel_name,direction,payload_keys,file,line_start,line_end
runtime.onMessage,content->background,,serviceWorker.js,1,2000
notificationClick,background->tabs,,serviceWorker.js,2001,4000
flashMessage,background->tabs,,serviceWorker.js,2001,4000
legacyUserMigration,content->background,,serviceWorker.js,2001,4000
momentum:authState,content->background,,serviceWorker.js,2001,4000
momentum:checkUserId,content->background,,serviceWorker.js,2001,4000
momentum:getUserId,content->background,,serviceWorker.js,2001,4000
momentum:openNew,content->background,,serviceWorker.js,2001,4000
notificationClick,background->tabs,,serviceWorker.js,4001,5360
flashMessage,background->tabs,,serviceWorker.js,4001,5360
legacyUserMigration,content->background,,serviceWorker.js,4001,5360
momentum:authState,content->background,,serviceWorker.js,4001,5360
momentum:checkUserId,content->background,,serviceWorker.js,4001,5360
momentum:getUserId,content->background,,serviceWorker.js,4001,5360
momentum:openNew,content->background,,serviceWorker.js,4001,5360
momentum:getUserId,content->background,,content-scripts/momoSiteInterop.js,15,18
momentum:oneTimeLogin,content->background,"payload|legacy|updateSenderTab",content-scripts/momoSiteInterop.js,22,27
momentum:authState,content->background,"type|payload",content-scripts/momoSiteInterop.js,27,34
momentum:checkUserId,content->background,"payload",content-scripts/momoSiteInterop.js,34,41
momentum:openNew,content->background,"type|payload",content-scripts/momoSiteInterop.js,41,54
momentum-intervention:show,content->ui,,content-scripts/siteBlocker.js,38,41
momentum-intervention:dismiss,content->ui,,content-scripts/siteBlocker.js,41,44
