key,type,purpose,file,line_start,line_end
userPrefs,local,unknown,serviceWorker.js,1,2000
notificationsQueue,indexeddb,unknown,serviceWorker.js,2001,4000
analyticsQueue,indexeddb,unknown,serviceWorker.js,2001,4000
xhrQueue,indexeddb,unknown,serviceWorker.js,2001,4000
idMap,indexeddb,unknown,serviceWorker.js,2001,4000
timestamp,indexeddb,unknown,serviceWorker.js,2001,4000
misc,indexeddb,unknown,serviceWorker.js,2001,4000
installDate,local,unknown,serviceWorker.js,2001,4000
releaseUpdateModalCheck,local,unknown,serviceWorker.js,2001,4000
calculateUnregisteredDashboardExperiment,local,unknown,serviceWorker.js,2001,4000
token,localstorage,unknown,serviceWorker.js,2001,4000
token_uuid,localstorage,unknown,serviceWorker.js,2001,4000
unregistered,localstorage,unknown,serviceWorker.js,2001,4000
client_uuid,localstorage,unknown,serviceWorker.js,2001,4000
momentum-customization-1,localstorage,unknown,serviceWorker.js,2001,4000
notificationsQueue,indexeddb,unknown,serviceWorker.js,4001,5360
analyticsQueue,indexeddb,unknown,serviceWorker.js,4001,5360
xhrQueue,indexeddb,unknown,serviceWorker.js,4001,5360
idMap,indexeddb,unknown,serviceWorker.js,4001,5360
timestamp,indexeddb,unknown,serviceWorker.js,4001,5360
misc,indexeddb,unknown,serviceWorker.js,4001,5360
installDate,local,unknown,serviceWorker.js,4001,5360
releaseUpdateModalCheck,local,unknown,serviceWorker.js,4001,5360
calculateUnregisteredDashboardExperiment,local,unknown,serviceWorker.js,4001,5360
token,localstorage,unknown,serviceWorker.js,4001,5360
token_uuid,localstorage,unknown,serviceWorker.js,4001,5360
unregistered,localstorage,unknown,serviceWorker.js,4001,5360
client_uuid,localstorage,unknown,serviceWorker.js,4001,5360
momentum-customization-1,localstorage,unknown,serviceWorker.js,4001,5360
