channel_name,direction,payload_keys,file,line_start,line_end
unknown,unknown,,serviceWorker.js,1,2000
oneTimeLogin,content->background,"legacy,updateSenderTab,params",serviceWorker.js,4001,5360
momentum:authState,content->background,"userId,src,loginState",serviceWorker.js,4001,5360
momentum:checkUserId,content->background,"userUuid",serviceWorker.js,4001,5360
momentum:getUserId,content->background,,serviceWorker.js,4001,5360
momentum:openNew,content->background,"updateSenderTab,params",serviceWorker.js,4001,5360
legacyUserMigration,content->background,"tabId",serviceWorker.js,4001,5360
legacyUserMigration:triggerOffscreenDocumentRequest,background->offscreen,"context,tabId,loggerName",serviceWorker.js,4001,5360
notificationClick,background->content,,serviceWorker.js,4001,5360
flashMessage,background->content,"message,error,id",serviceWorker.js,4001,5360
activateNewWorker,background->background,,serviceWorker.js,4001,5360
momentum:getUserId,content->background,,content-scripts/momoSiteInterop.js,1,55
momentum:oneTimeLogin,content->background,"payload,legacy,updateSenderTab",content-scripts/momoSiteInterop.js,1,55
momentum:authState,content->background,,content-scripts/momoSiteInterop.js,1,55
momentum:checkUserId,content->background,"payload",content-scripts/momoSiteInterop.js,1,55
momentum:openNew,content->background,,content-scripts/momoSiteInterop.js,1,55
momentum:callback:oneTimeLogin,background->content,"payload",content-scripts/momoSiteInterop.js,1,55
momentum:callback:checkUserId,background->content,"payload",content-scripts/momoSiteInterop.js,1,55
momentum:callback:openNew,background->content,"payload",content-scripts/momoSiteInterop.js,1,55
momentum-intervention:show,other,,content-scripts/siteBlocker.js,1,66
momentum-intervention:dismiss,other,,content-scripts/siteBlocker.js,1,66
